name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,486,,,,,,,,-118.2362627,34.0662,,,boundary node created by osm2gmns
,487,5029911669,traffic_signals,,signal,,,,-118.23688,34.0652158,,,
,488,4015421600,,,,,,,-118.2388453,34.0641876,,,
,489,4015421599,,,,,,,-118.2394302,34.0630088,,,
,490,26462445,traffic_signals,,signal,,,,-118.2395633,34.0627598,,,
,491,4015421598,,,,,,,-118.2396777,34.0625071,,,
,492,4015490439,,,,,,,-118.2406831,34.0602477,,,
,493,268372702,traffic_signals,,signal,,,,-118.2362927,34.0616285,,,
,494,4073985002,,,,,,,-118.2364155,34.0611409,,,
,495,4032212599,,,,,,,-118.2358496,34.0630878,,,
,496,268373135,traffic_signals,,signal,,,,-118.2357046,34.0634918,,,
,497,17677673,,,,,,,-118.2360816,34.0636451,,,
,498,4015456423,,,,,,,-118.236282,34.0637102,,,
,499,4015477825,,,,,,,-118.2394861,34.0600352,,,
,500,4015477824,,,,,,,-118.2398848,34.0592234,,,
,501,4015477823,,,,,,,-118.2400551,34.0588945,,,
,502,4015490440,,,,,,,-118.2403451,34.0611113,,,
,503,4020011640,,,,,,,-118.2349434,34.0616793,,,
,504,4020094066,,,,,,,-118.2583835,34.0606351,,,
,505,4020094067,,,,,,,-118.258498,34.0607566,,,
,506,,,,,,,,-118.2585,34.0607587,,,boundary node created by osm2gmns
,507,4020094063,,,,,,,-118.257659,34.0599017,,,
,508,1614923045,,,,,,,-118.2450053,34.0600406,,,
,509,11048229781,traffic_signals,,signal,,,,-118.2447975,34.0599643,,,
,510,4020471395,,,,,,,-118.2556278,34.0575814,,,
,511,4020471405,,,,,,,-118.2537495,34.0598865,,,
,512,1738809275,,,,,,,-118.2515947,34.0581824,,,
,513,4020471394,,,,,,,-118.2525915,34.057134,,,
,514,4073903388,,,,,,,-118.2524717,34.057257,,,
,515,10274950729,,,,,,,-118.253501,34.0561751,,,
,516,4073904090,,,,,,,-118.2517939,34.0579579,,,
,517,9522461945,,,,,,,-118.2487792,34.0596878,,,
