name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Keller Drive,25,8930358,38,37,1,87.24,,40,,residential,6,"LINESTRING (-122.0628824 37.4039570, -122.0629697 37.4039807, -122.0633123 37.4040643, -122.0637257 37.4041675, -122.0638273 37.4041755)",auto,1,0,,
Clark Road,26,8931518,2,39,1,63.16,,,,residential,6,"LINESTRING (-122.0634688 37.4098145, -122.0633525 37.4098534, -122.0632968 37.4098722, -122.0629979 37.4099739, -122.0628136 37.4100402)",auto,0,0,,
Clark Road,27,8931518,39,40,1,53.66,,,,residential,6,"LINESTRING (-122.0628136 37.4100402, -122.0624244 37.4101570, -122.0622565 37.4102288)",auto,0,0,,
South Akron Road,28,8931582,41,42,1,36.14,,,,residential,6,"LINESTRING (-122.0608066 37.4105449, -122.0606859 37.4105130, -122.0605665 37.4104970, -122.0604064 37.4105009)",auto,0,0,,
South Akron Road,29,8931582,42,43,1,174.48,,,,residential,6,"LINESTRING (-122.0604064 37.4105009, -122.0598518 37.4106781, -122.0591307 37.4109221, -122.0590220 37.4109587, -122.0587913 37.4110327, -122.0585835 37.4111000)",auto,0,0,,
Ada Avenue,30,8932500,44,45,1,49.85,,40,,residential,6,"LINESTRING (-122.0666258 37.3913451, -122.0666024 37.3914241, -122.0665851 37.3915264, -122.0664902 37.3917803)",auto,1,0,,
Ada Avenue,31,8932500,45,44,1,49.85,,40,,residential,6,"LINESTRING (-122.0664902 37.3917803, -122.0665851 37.3915264, -122.0666024 37.3914241, -122.0666258 37.3913451)",auto,1,0,,
Gorsey Road,32,8932519,46,47,1,183.85,,,,residential,6,"LINESTRING (-122.0554331 37.4073185, -122.0550618 37.4083428, -122.0549174 37.4087817, -122.0548679 37.4089131)",auto,1,0,,
Gorsey Road,33,8932519,47,46,1,183.85,,,,residential,6,"LINESTRING (-122.0548679 37.4089131, -122.0549174 37.4087817, -122.0550618 37.4083428, -122.0554331 37.4073185)",auto,1,0,,
San Leandro Avenue,34,8933621,48,49,1,291.75,,40,,residential,6,"LINESTRING (-122.0703873 37.4063051, -122.0703607 37.4063480, -122.0703461 37.4063997, -122.0703458 37.4068976, -122.0703455 37.4072907, -122.0703583 37.4073598, -122.0703660 37.4073822, -122.0703824 37.4074304, -122.0704156 37.4075068, -122.0704514 37.4075811, -122.0704990 37.4076610, -122.0705607 37.4077532, -122.0706357 37.4078575, -122.0706945 37.4079289, -122.0708065 37.4080582, -122.0709023 37.4081536, -122.0710064 37.4082487, -122.0710836 37.4083141, -122.0711625 37.4083661, -122.0712502 37.4084070, -122.0713256 37.4084307, -122.0714091 37.4084482, -122.0715041 37.4084603, -122.0715661 37.4084626, -122.0715885 37.4084634)",auto,1,0,,
