name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,685,880557019,12,177,1,510.12,1,,,motorway,1,"LINESTRING (-121.8935045 37.3229488, -121.8934306 37.3229715, -121.8932710 37.3230320, -121.8931202 37.3231024, -121.8929751 37.3231836, -121.8928453 37.3232676, -121.8927130 37.3233672, -121.8925977 37.3234673, -121.8924937 37.3235740, -121.8923993 37.3236913, -121.8923150 37.3238129, -121.8922422 37.3239368, -121.8921815 37.3240665, -121.8921343 37.3242065, -121.8920993 37.3243451, -121.8920751 37.3244768, -121.8920656 37.3246159, -121.8920733 37.3247609, -121.8920913 37.3248960, -121.8921230 37.3250368, -121.8921702 37.3251748, -121.8922223 37.3252933, -121.8922850 37.3254115, -121.8923608 37.3255238, -121.8924485 37.3256361, -121.8934883 37.3267251)",auto,0,1,,
,686,881932604,8,116,1,156.12,2,,,motorway,1,"LINESTRING (-121.8954935 37.3236403, -121.8962853 37.3235271, -121.8965762 37.3234802, -121.8968943 37.3234222, -121.8972201 37.3233609)",auto,0,1,,
South Almaden Avenue,687,924738516,368,496,1,9.82,3,48,,secondary,4,"LINESTRING (-121.8868734 37.3251430, -121.8869147 37.3251761, -121.8869613 37.3251952)",auto,0,0,,
South Almaden Avenue,688,924738516,496,205,1,11.07,3,48,,secondary,4,"LINESTRING (-121.8869613 37.3251952, -121.8870112 37.3252149, -121.8870759 37.3252347)",auto,0,0,,
Sinclair Freeway,689,942059757,131,122,1,116.99,4,104,,motorway,1,"LINESTRING (-121.8960402 37.3230030, -121.8958988 37.3230362, -121.8954166 37.3231357, -121.8947606 37.3232627)",auto,0,0,,
,690,942162710,258,7,1,103.04,1,,,motorway,1,"LINESTRING (-121.8924844 37.3241411, -121.8936090 37.3239042)",auto,0,1,,
Guadalupe Freeway,691,947177758,145,485,1,6.8,5,104,,motorway,1,"LINESTRING (-121.8970780 37.3334077, -121.8970665 37.3333471)",auto,0,0,,
Sinclair Freeway,692,955977937,256,497,1,97.66,6,104,,motorway,1,"LINESTRING (-121.8874741 37.3246539, -121.8864064 37.3248726)",auto,0,0,,
Sinclair Freeway,693,955977938,497,118,1,17.15,6,104,,motorway,1,"LINESTRING (-121.8864064 37.3248726, -121.8862223 37.3249204)",auto,0,0,,
Sinclair Freeway,694,955977944,498,120,1,13.76,5,104,,motorway,1,"LINESTRING (-121.8865883 37.3251105, -121.8867380 37.3250773)",auto,0,0,,
,695,955977948,175,176,1,42.27,2,,,motorway,1,"LINESTRING (-121.8950078 37.3274524, -121.8948040 37.3271079)",auto,0,1,,
Guadalupe Freeway,696,955977952,471,499,1,50.51,3,104,,motorway,1,"LINESTRING (-121.8925433 37.3245834, -121.8928059 37.3249875)",auto,0,0,,
Guadalupe Freeway,697,955977953,499,275,1,81.87,3,104,,motorway,1,"LINESTRING (-121.8928059 37.3249875, -121.8932406 37.3256387)",auto,0,0,,
,698,955977954,220,253,1,9.67,2,,,motorway,1,"LINESTRING (-121.8923671 37.3245609, -121.8924190 37.3246376)",auto,0,1,,
,699,955981776,500,375,1,75.37,2,,,motorway,1,"LINESTRING (-121.8932764 37.3247800, -121.8934745 37.3247534, -121.8936610 37.3247139, -121.8938319 37.3246644, -121.8939586 37.3246201, -121.8940809 37.3245711)",auto,0,1,,
,700,955981777,457,500,1,79.19,2,,,motorway,1,"LINESTRING (-121.8923905 37.3247345, -121.8924864 37.3247568, -121.8926809 37.3247833, -121.8928635 37.3247945, -121.8930767 37.3247919, -121.8932764 37.3247800)",auto,0,1,,
Guadalupe Freeway,701,955990646,156,9,1,9.6,4,104,,motorway,1,"LINESTRING (-121.8957712 37.3289268, -121.8957266 37.3288479)",auto,0,0,,
Park Avenue,702,956250551,452,223,1,14.2,4,,,secondary,4,"LINESTRING (-121.8948221 37.3297778, -121.8949594 37.3297118)",auto,0,0,,
