name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
North Boylston Street,29,13352133,15,30,1,105.55,1,,,residential,6,"LINESTRING (-118.2545503 34.0620566, -118.2544584 34.0621248, -118.2542663 34.0624298, -118.2540187 34.0628238, -118.2539852 34.0628775)",auto,1,0,,
North Boylston Street,30,13352133,30,15,1,105.55,1,,,residential,6,"LINESTRING (-118.2539852 34.0628775, -118.2540187 34.0628238, -118.2542663 34.0624298, -118.2544584 34.0621248, -118.2545503 34.0620566)",auto,1,0,,
Boylston Street,31,13352134,31,32,1,51.54,1,,,residential,6,"LINESTRING (-118.2521434 34.0658348, -118.2520834 34.0658561, -118.2520061 34.0659130, -118.2518237 34.0662000)",auto,1,0,,
Boylston Street,32,13352134,32,31,1,51.54,1,,,residential,6,"LINESTRING (-118.2518237 34.0662000, -118.2520061 34.0659130, -118.2520834 34.0658561, -118.2521434 34.0658348)",auto,1,0,,
West Court Street,33,13353869,30,33,1,108.1,1,,,residential,6,"LINESTRING (-118.2539852 34.0628775, -118.2550225 34.0633305)",auto,1,0,,
West Court Street,34,13353869,33,30,1,108.1,1,,,residential,6,"LINESTRING (-118.2550225 34.0633305, -118.2539852 34.0628775)",auto,1,0,,
West Court Street,35,13353869,33,34,1,42.69,1,,,residential,6,"LINESTRING (-118.2550225 34.0633305, -118.2554321 34.0635094)",auto,1,0,,
West Court Street,36,13353869,34,33,1,42.69,1,,,residential,6,"LINESTRING (-118.2554321 34.0635094, -118.2550225 34.0633305)",auto,1,0,,
West Court Street,37,13353869,34,25,1,100.53,1,,,residential,6,"LINESTRING (-118.2554321 34.0635094, -118.2563967 34.0639308)",auto,1,0,,
West Court Street,38,13353869,25,34,1,100.53,1,,,residential,6,"LINESTRING (-118.2563967 34.0639308, -118.2554321 34.0635094)",auto,1,0,,
West Court Street,39,13353869,25,35,1,54.84,1,,,residential,6,"LINESTRING (-118.2563967 34.0639308, -118.2569230 34.0641606)",auto,1,0,,
West Court Street,40,13353869,35,25,1,54.84,1,,,residential,6,"LINESTRING (-118.2569230 34.0641606, -118.2563967 34.0639308)",auto,1,0,,
West Court Street,41,13353869,35,36,1,138.03,1,,,residential,6,"LINESTRING (-118.2569230 34.0641606, -118.2581651 34.0647031, -118.2582475 34.0647391)",auto,1,0,,
West Court Street,42,13353869,36,35,1,138.03,1,,,residential,6,"LINESTRING (-118.2582475 34.0647391, -118.2581651 34.0647031, -118.2569230 34.0641606)",auto,1,0,,
West Court Street,43,13353869,36,37,1,26.31,1,,,residential,6,"LINESTRING (-118.2582475 34.0647391, -118.2583385 34.0647788, -118.2585000 34.0648494)",auto,1,0,,
West Court Street,44,13353869,37,36,1,26.31,1,,,residential,6,"LINESTRING (-118.2585000 34.0648494, -118.2583385 34.0647788, -118.2582475 34.0647391)",auto,1,0,,
North Edgeware Road,45,13365023,38,39,1,45.94,1,,,residential,6,"LINESTRING (-118.2568357 34.0625488, -118.2565984 34.0629130)",auto,1,0,,
North Edgeware Road,46,13365023,39,38,1,45.94,1,,,residential,6,"LINESTRING (-118.2565984 34.0629130, -118.2568357 34.0625488)",auto,1,0,,
North Alhambra Avenue,47,13369034,40,41,1,31.53,,,,unclassified,15,"LINESTRING (-118.2347023 34.0611376, -118.2345530 34.0613320, -118.2345000 34.0613625)",auto,1,0,,
