name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
August Lane,118,8955066,87,75,1,109.22,,,,residential,6,"LINESTRING (-122.0481414 37.3137570, -122.0479536 37.3137666, -122.0477951 37.3137916, -122.0475664 37.3138594, -122.0470006 37.3140965)",auto,1,0,,
Saich Way,119,8956400,88,89,1,18.36,1,,,residential,6,"LINESTRING (-122.0372859 37.3228117, -122.0372871 37.3229772)",auto,1,0,,
Saich Way,120,8956400,89,88,1,18.36,1,,,residential,6,"LINESTRING (-122.0372871 37.3229772, -122.0372859 37.3228117)",auto,1,0,,
Felton Way,121,8957116,90,91,1,11.66,,40,,residential,6,"LINESTRING (-122.0340189 37.3155965, -122.0340180 37.3155256, -122.0340190 37.3154914)",auto,1,0,,
Felton Way,122,8957116,91,90,1,11.66,,40,,residential,6,"LINESTRING (-122.0340190 37.3154914, -122.0340180 37.3155256, -122.0340189 37.3155965)",auto,1,0,,
Kenmore Court,123,8957120,92,93,1,69.35,1,,,residential,6,"LINESTRING (-122.0449989 37.3106066, -122.0450075 37.3107841, -122.0449283 37.3109094, -122.0446467 37.3111185)",auto,1,0,,
Kenmore Court,124,8957120,93,92,1,69.35,1,,,residential,6,"LINESTRING (-122.0446467 37.3111185, -122.0449283 37.3109094, -122.0450075 37.3107841, -122.0449989 37.3106066)",auto,1,0,,
Anton Way,125,8957344,94,95,1,94.54,,,,residential,6,"LINESTRING (-122.0442297 37.3229478, -122.0442180 37.3238000)",auto,1,0,,
Anton Way,126,8957344,95,94,1,94.54,,,,residential,6,"LINESTRING (-122.0442180 37.3238000, -122.0442297 37.3229478)",auto,1,0,,
Pumpkin Drive,127,8957859,96,25,1,98.63,,,,residential,6,"LINESTRING (-122.0481206 37.3104321, -122.0489222 37.3104275, -122.0490967 37.3103994, -122.0492176 37.3103543)",auto,1,0,,
Pumpkin Drive,128,8957859,25,96,1,98.63,,,,residential,6,"LINESTRING (-122.0492176 37.3103543, -122.0490967 37.3103994, -122.0489222 37.3104275, -122.0481206 37.3104321)",auto,1,0,,
Pumpkin Drive,129,8957859,25,97,1,45.74,,,,residential,6,"LINESTRING (-122.0492176 37.3103543, -122.0493809 37.3102109, -122.0495872 37.3100675)",auto,1,0,,
Pumpkin Drive,130,8957859,97,25,1,45.74,,,,residential,6,"LINESTRING (-122.0495872 37.3100675, -122.0493809 37.3102109, -122.0492176 37.3103543)",auto,1,0,,
Pumpkin Drive,131,8957859,97,98,1,78.13,,,,residential,6,"LINESTRING (-122.0495872 37.3100675, -122.0503432 37.3100778, -122.0503660 37.3100774, -122.0504688 37.3100759)",auto,1,0,,
Pumpkin Drive,132,8957859,98,97,1,78.13,,,,residential,6,"LINESTRING (-122.0504688 37.3100759, -122.0503660 37.3100774, -122.0503432 37.3100778, -122.0495872 37.3100675)",auto,1,0,,
Erin Way,133,8957992,99,100,1,314.59,,,,residential,6,"LINESTRING (-122.0370526 37.3141126, -122.0372018 37.3140860, -122.0373832 37.3140707, -122.0400393 37.3140540, -122.0405507 37.3138739)",auto,1,0,,
Erin Way,134,8957992,100,99,1,314.59,,,,residential,6,"LINESTRING (-122.0405507 37.3138739, -122.0400393 37.3140540, -122.0373832 37.3140707, -122.0372018 37.3140860, -122.0370526 37.3141126)",auto,1,0,,
November Drive,135,8958540,68,101,1,255.62,1,,,residential,6,"LINESTRING (-122.0478707 37.3130427, -122.0479244 37.3129126, -122.0470446 37.3108625)",auto,1,0,,
November Drive,136,8958540,101,68,1,255.62,1,,,residential,6,"LINESTRING (-122.0470446 37.3108625, -122.0479244 37.3129126, -122.0478707 37.3130427)",auto,1,0,,
November Drive,137,8958540,101,102,1,125.05,1,,,residential,6,"LINESTRING (-122.0470446 37.3108625, -122.0465733 37.3098000)",auto,1,0,,
November Drive,138,8958540,102,101,1,125.05,1,,,residential,6,"LINESTRING (-122.0465733 37.3098000, -122.0470446 37.3108625)",auto,1,0,,
Craig Court,139,8958658,103,104,1,96.76,1,,,residential,6,"LINESTRING (-122.0357284 37.3178208, -122.0349139 37.3178357, -122.0347890 37.3177924, -122.0346793 37.3177215)",auto,1,0,,
Craig Court,140,8958658,104,103,1,96.76,1,,,residential,6,"LINESTRING (-122.0346793 37.3177215, -122.0347890 37.3177924, -122.0349139 37.3178357, -122.0357284 37.3178208)",auto,1,0,,
